res	var	per	id	start	end	ismeta	path
soil	daily	historical	NA	NA	NA	TRUE	soil/daily/historical/AMBAV.pdf
soil	daily	historical	NA	NA	NA	TRUE	soil/daily/historical/AMBETI.pdf
soil	daily	historical	NA	NA	NA	TRUE	soil/daily/historical/BESCHREIBUNG_derived_ermany_soil_daily_historical_de_v2.pdf
soil	daily	historical	NA	NA	NA	TRUE	soil/daily/historical/BESCHREIBUNG_derivgermany_soil_daily_historical_de.pdf
soil	daily	historical	1001	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1001.txt.gz
soil	daily	historical	1048	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1048.txt.gz
soil	daily	historical	1050	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1050.txt.gz
soil	daily	historical	1051	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1051.txt.gz
soil	daily	historical	1052	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1052.txt.gz
soil	daily	historical	1072	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1072.txt.gz
soil	daily	historical	1078	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1078.txt.gz
soil	daily	historical	1103	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1103.txt.gz
soil	daily	historical	1107	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1107.txt.gz
soil	daily	historical	1161	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1161.txt.gz
soil	daily	historical	1197	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1197.txt.gz
soil	daily	historical	1200	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1200.txt.gz
soil	daily	historical	1207	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1207.txt.gz
soil	daily	historical	1214	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_1214.txt.gz
